,snapped_at,price,market_cap,total_volume,price_pct_change,price_vs_ma7,price_vs_ma14,momentum_7,rsi,macd,signal_line,histogram,signal
15,2015-08-23 00:00:00+00:00,1.355182100454404,98488001.44464436,1610695.872750647,-0.018497166407215104,0.01740829768384744,-0.014455159818988816,-0.1214251537506239,50.42560151291504,-0.023903735271945115,-0.022434386370762102,-0.0014693489011830124,0.0
16,2015-08-24 00:00:00+00:00,1.24657168269902,90625948.31797116,696476.5553267623,-0.08014451911589293,-0.09730215600648107,-0.16299314711831592,0.04270025154460999,61.96588543538448,-0.03124356764129388,-0.02423680958750489,-0.007006758053788989,0.0
17,2015-08-25 00:00:00+00:00,1.160828327907264,84423109.08066371,1053169.3862050483,-0.06878333270503023,-0.16582197883356398,-0.25541146251559477,-0.12056472375271099,52.28852205874927,-0.04188724656229881,-0.027831655977921005,-0.014055590584377803,0.0
19,2015-08-27 00:00:00+00:00,1.133690694008804,82504022.8230964,681460.2394411361,0.012550059047555795,-0.12387334482357248,-0.22335775563336768,-0.35050438016306895,24.169356495445115,-0.05860226656410439,-0.03800193126535404,-0.020600335298750348,1.0
21,2015-08-29 00:00:00+00:00,1.174343905252208,85515599.87435573,607200.891453558,-0.012239756175445038,-0.022677746965976908,-0.10172704751006467,-0.2063776312244301,30.184514503202678,-0.05992344329513566,-0.045834811517702904,-0.014088631777432754,1.0
24,2015-09-01 00:00:00+00:00,1.350786688734447,98446826.49425755,610368.2430900692,-0.001907631819762945,0.11606162580425483,0.07009900389893708,0.1899583608271831,53.89816277316095,-0.030526348971884776,-0.042176514087330454,0.011650165115445678,0.0
27,2015-09-04 00:00:00+00:00,1.269520099878085,92596631.55333725,333502.66115673864,0.005344897733920995,-0.017901539551150814,0.012557194681200867,0.08062440115547687,39.42618059650222,-0.026461984944535333,-0.03498259467284608,0.00852060972831075,1.0
29,2015-09-06 00:00:00+00:00,1.29888313413515,94801706.70501994,317470.0943419727,-0.027036507809879096,-0.008133445058507105,0.04920910561033143,-0.02346774578381683,45.962912703778976,-0.01798839298897703,-0.029237646318261864,0.011249253329284833,0.0
32,2015-09-09 00:00:00+00:00,1.206529945086729,88150718.66876175,367774.3318949896,-0.02386935431482229,-0.05988960190045911,-0.05541176050237406,-0.07228082022203486,57.84096354899383,-0.024710999173023662,-0.02572911082641262,0.0010181116533889562,0.0
33,2015-09-10 00:00:00+00:00,1.167234841402144,85308945.82326,639527.9174929534,-0.03256869325506906,-0.08553672299665638,-0.09710287471505441,-0.09553587811871189,52.89510162098202,-0.03014706794514832,-0.026613150511534747,-0.003533917433613573,0.0
34,2015-09-11 00:00:00+00:00,0.976509092691504,71394234.94958797,1901710.694902119,-0.16339963642751643,-0.23440375639492783,-0.2726581515663299,-0.2930110071865809,35.14460366997929,-0.048325634616218416,-0.030957409573305783,-0.017368225042912633,1.0
35,2015-09-12 00:00:00+00:00,1.038203585306107,75931677.01254052,800623.2998453851,0.06317861561796367,-0.13031317176877244,-0.2012393503841483,-0.2967726440808671,41.0667832764609,-0.05734941771505553,-0.036237524696978815,-0.021111893018076713,0.0
36,2015-09-13 00:00:00+00:00,0.9386521502557872,68673818.80135794,658895.1959938455,-0.09588816341928519,-0.1784030376934691,-0.27338373331566945,-0.3602309838793629,23.112785650986467,-0.07126886874188787,-0.04324561290968119,-0.028023255832206682,0.0
37,2015-09-14 00:00:00+00:00,0.87402296242848,63965969.21105757,739213.7259180878,-0.0688531825231482,-0.1884321573011899,-0.3037739600742019,-0.38220047753710407,17.92154401825448,-0.08624303933055333,-0.051846884608096375,-0.034396154722456954,1.0
38,2015-09-15 00:00:00+00:00,0.9418231857274298,68951445.2301325,725816.471124354,0.0775725881509639,-0.07860192325802451,-0.20676205798903668,-0.29421007520950815,24.828800520493147,-0.09181008079677344,-0.0598408520715005,-0.03196922872527294,0.0
40,2015-09-17 00:00:00+00:00,0.8830787289063511,64693831.07862287,910704.9512256784,-0.022299320718689675,-0.05342264607765801,-0.21155774078505374,-0.284156112495793,25.756885766864983,-0.1033754798133244,-0.07466482029004157,-0.028710659523282833,0.0
41,2015-09-18 00:00:00+00:00,0.8460709193872474,62003275.12077277,478606.3969218407,-0.041907712537630704,-0.07179643083901077,-0.2183191802690977,-0.13043817330425655,23.968849397343718,-0.10919420922405709,-0.08157128561393653,-0.02762292361012056,1.0
42,2015-09-19 00:00:00+00:00,0.8821037996855977,64666306.22983543,387803.6167124918,0.042588486937296555,-0.013463581166302085,-0.14993826927779186,-0.1560997856205092,21.115163127326383,-0.10972108675726633,-0.08720162902391891,-0.022519457733347417,1.0
43,2015-09-20 00:00:00+00:00,0.9363277614869444,68666556.12460059,514836.1086247495,0.061471180399260694,0.04109243617345071,-0.0698174951444307,-0.002324388768842778,27.398445514411293,-0.10468648214572063,-0.09069879005183638,-0.013987692093884244,0.0
46,2015-09-23 00:00:00+00:00,0.8940475222994914,65633959.75465384,204065.4059008884,-0.0034495563036126553,0.002638397169508755,-0.040204592935775496,-0.009172397272913857,29.222843614773424,-0.09646854285723905,-0.09474632102795234,-0.0017222218292867048,0.0
47,2015-09-24 00:00:00+00:00,0.8160373080893036,59927327.71396765,818263.068224302,-0.08725510922455815,-0.0657944712096723,-0.09312926905218888,-0.06704142081704745,27.792004242928158,-0.09905318361479909,-0.0956077127549991,-0.0034454708597999872,0.0
48,2015-09-25 00:00:00+00:00,0.7405192998515878,54400658.247102216,901151.6190115964,-0.09254234762199309,-0.1262336766565797,-0.1517908635156251,-0.10555161953565961,32.53203033352753,-0.10584033644910296,-0.09765427400569267,-0.008186062443410289,1.0
49,2015-09-26 00:00:00+00:00,0.7778014991497727,57158415.438244216,379124.1859007531,0.05034601975351194,-0.07405114871041962,-0.09590851520627341,-0.10430230053582501,30.002316154324404,-0.10703085346411978,-0.09952961666316289,-0.0075012368009568925,0.0
50,2015-09-27 00:00:00+00:00,0.7213584231130563,53028193.82255717,408380.6390382605,-0.0725674559619841,-0.09978431926515208,-0.13683061073279468,-0.2149693383738881,32.12963463327678,-0.11116008700024704,-0.1018557372901821,-0.00930434971006494,0.0
51,2015-09-28 00:00:00+00:00,0.5830570046974366,42874816.97306375,1214056.2117823916,-0.19172357871524315,-0.19265204133910607,-0.25434874645333994,-0.3180358743916606,28.65705927158689,-0.12396953916648246,-0.10627853806500825,-0.017691001101474202,1.0
52,2015-09-29 00:00:00+00:00,0.657832489515796,48389042.90271223,936630.3296074624,0.12824729694682646,-0.0836894457294104,-0.15928821190557818,-0.23930977553935373,29.379715962923797,-0.12671533344066477,-0.11036592700876771,-0.016349406431897057,1.0
53,2015-09-30 00:00:00+00:00,0.7347630535971914,54065419.5075397,640217.6226458604,0.11694552231377453,0.015996042452313675,-0.07032501454023887,-0.15928446870229995,38.41340185850252,-0.12137106441950041,-0.11256696735821055,-0.008804097061289859,0.0
57,2015-10-04 00:00:00+00:00,0.6675468579375702,49187272.3502002,104370.4507347284,-0.028988512518461018,-0.0028401544735916495,-0.07821801945711504,-0.05381156517548613,29.919708641561073,-0.11125063103388899,-0.11390293834028224,0.0026523073063932506,0.0
59,2015-10-06 00:00:00+00:00,0.64565776230867,47605896.39364778,268523.03787593375,0.02770003582812608,-0.02944687043654548,-0.06265552168654087,-0.01217472720712598,31.690894821608694,-0.10813821860464379,-0.1122834347505231,0.004145216145879316,0.0
61,2015-10-08 00:00:00+00:00,0.6234833021554507,45977519.79859987,310876.1441075317,0.02208249903039694,-0.02489572433289189,-0.050787922491487225,-0.062328887558442236,35.29639758702193,-0.10469287050864695,-0.10999866861351985,0.0053057981048729025,1.0
62,2015-10-09 00:00:00+00:00,0.650768764684828,47989631.2526218,379233.1220398259,0.04376294029855887,0.006025876652231976,-0.0170917074501985,-0.025452969190226105,42.60158668072264,-0.09914491186222107,-0.10782791556000536,0.008683003697784283,0.0
65,2015-10-12 00:00:00+00:00,0.628787281832734,46416611.842303865,108895.52921643596,-0.012960955772940874,-0.003433965418399576,-0.025745281537378095,0.0005322075897954415,55.563220194332324,-0.0866548208231267,-0.09924951870552808,0.012594697882401376,0.0
